N,b_rms_0,b_rms_2,b_rms_8
7181.039092537357,0.01802580825938302,0.018297517680704277,0.02197362057901142
7348.872892180388,0.01781878241722325,0.01808128174219045,0.02163998356197039
7520.629269592407,0.017614134260363644,0.017867734721041233,0.021312653960788023
7696.399902471158,0.017411836481163144,0.01765683884531806,0.020991488357214434
7876.278611187063,0.017211862085608102,0.01744855700563533,0.02067634683527499
8060.361408861345,0.017014184389710276,0.01724285274008196,0.020367092898902397
8248.74655261458,0.016818777015946168,0.017039690219553275,0.02006359339130574
8441.534596012985,0.01662561388973731,0.016839034233481286,0.0197657184160425
8638.828442740454,0.016434669235970974,0.016640850175951887,0.019473341259760354
8840.733401525064,0.01624591757556079,0.016445104032197642,0.019186338316576342
9047.357242349293,0.016059333722046872,0.016251762365455315,0.018904589014062126
9258.810253973954,0.01587489277823504,0.01606079230417761,0.01862797574080464
9475.205302806547,0.015692570132874624,0.015872161529588757,0.018356383775512214
9696.65789314552,0.015512341457374398,0.015685838263573972,0.018089701217636898
9923.286228832545,0.015334182702556222,0.015501791256893006,0.017827818919484647
10155.211276345692,0.015158070095446006,0.015319989777708539,0.01757063041978543
10392.556829367131,0.014983980136101572,0.01514040360042013,0.017318031878696266
10635.449574860111,0.014811889594476789,0.014963002994794703,0.017069922014210186
10884.019160690077,0.014641775507321878,0.014787758715385232,0.01682620203994555
11138.398264826183,0.014473615175119326,0.014614641991229083,0.016586775604290158
11398.722666160525,0.014307386159054759,0.014443624515817623,0.016351548730874726
11665.131316981962,0.014143066278022984,0.014274678437329845,0.016120429760352252
11937.766417144358,0.013980633605668053,0.014107776349121522,0.015893329293458235
12216.77348996793,0.013820066467457521,0.013942891280463074,0.015670160135328987
12502.30145991456,0.013661343437790316,0.01377999668751868,0.015450837241054784
12794.502732078734,0.013504443337137675,0.0136190664445595,0.015235277662444905
13093.533273536123,0.013349345229217059,0.013460074835404422,0.015023400495982737
13399.552696593371,0.013196028418198537,0.013302996545081682,0.014815126831948893
13712.72434398401,0.013044472445943034,0.013147806651704636,0.014610379704690545
14033.215376054846,0.012894657089272657,0.012994480618556084,0.014409084044016536
14361.196859990772,0.012746562357272024,0.012842994286374377,0.01421116662769657
14696.843861124475,0.012600168488620785,0.012693323865836005,0.014016556035044685
15040.335536380251,0.012455455948956778,0.012545445930228778,0.013825182601566562
15391.855229902054,0.012312405428269337,0.012399337408309952,0.013636978374650624
15751.590570916245,0.01217099783832266,0.012254975577344208,0.013451877070283705
16119.733573881555,0.012031214310108791,0.012112338056316186,0.013269814030771784
16496.480740980205,0.011893036191329644,0.011971402799312313,0.013090726183446531
16882.03316700363,0.011756445043908275,0.011832148089067572,0.012914552000339558
17276.59664669035,0.01162142264152844,0.011694552530671842,0.01274123145880505
17680.381784572088,0.011487950967202553,0.011558595045431696,0.01257070600307316
18093.604107387164,0.011356012210867602,0.011424254864883005,0.012402918506715948
18516.48417912154,0.011225588767008559,0.011291511524949952,0.012237813236007923
18949.247718738236,0.01109666323230918,0.011160344860246448,0.012075335814164024
19392.12572065831,0.0109692184033298,0.011030734998515777,0.011915433186437507
19845.35457805803,0.010843237274211678,0.010902662355204453,0.011758053586060666
20309.17620904739,0.010718703034407836,0.01077610762816663,0.011603146501011704
20783.83818579755,0.010595599066439936,0.010651051792495288,0.011450662641591126
21269.59386668692,0.010473908943680787,0.01052747609547641,0.011300553908790966
21766.702531534593,0.010353616428162566,0.010405362051663113,0.0111527733634413
22275.429519995563,0.010234705468409966,0.010284691438065768,0.011007275196117354
22796.04637318982,0.01011716019729836,0.010165446289455319,0.010864014697792038
23328.830978641585,0.01000096492993659,0.010047608893776384,0.01072294823121818
23874.06771860647,0.009886104161573945,0.00993116178766702,0.010584033203025037
24432.047621864916,0.009772562565531289,0.009816087752082295,0.010447228036514216
25003.068519063214,0.009660324991155954,0.009702369808018743,0.010312492145140005
25587.43520168589,0.00954937646179998,0.009589991212336668,0.010179785906659312
26185.459584742326,0.0094397021728218,0.009478935453677997,0.010049070637937127
26797.460873256896,0.009331287489610655,0.009369186248476546,0.00992030857039275
27423.765732649525,0.009224117945633829,0.009260727537058502,0.009793462826073176
28064.708463098388,0.009118179240506315,0.00915354347983049,0.00966849739433961
28720.63117797828,0.009013457238082542,0.009047618453552736,0.00954537710915339
29391.883986468903,0.008909937964570134,0.008942937047695148,0.009424067626948147
30078.82518043096,0.008807607606665315,0.00883948406087398,0.009304535405074853
30781.8214256508,0.00870645250970961,0.008737244497366707,0.009186747680806606
31501.247957553278,0.008606459175867925,0.008636203563703378,0.009070672450890774
32237.48878149027,0.008507614262327346,0.008536346665331884,0.00895627845163542
32990.93687770943,0.008409904579516748,0.00843765940335552,0.00884353513951798
33761.9944111134,0.008313317089346841,0.00834012757134074,0.008732412672303924
34551.072945922184,0.008217838903470357,0.008243737152193143,0.00862288189066329
35358.59366535183,0.008123457281562288,0.008148474315100011,0.008514914300273567
36184.987596427425,0.008030159629619896,0.008054325412537576,0.008408482054397237
37030.69584005141,0.00793793349828211,0.007961276977341118,0.008303557936922498
37896.16980644724,0.00784676658116843,0.007869315719836583,0.008200115345856384
38781.8714561072,0.007756646713236748,0.007778428525031732,0.008098128277258913
39688.27354637166,0.007667561869160039,0.007688602449865381,0.007997571309607706
40615.859883769794,0.0075795001617218315,0.007599824720513403,0.007898419588582707
41565.125582259876,0.007492449840229934,0.0075120827297496225,0.0078006488122602455
42536.57732750392,0.007406399288948486,0.007425364034360506,0.007704235216706648
43530.73364731892,0.0073213370255480106,0.007339656352612115,0.0076091555619613215
44548.125188449885,0.007237251699573204,0.007254947561767903,0.007515387118399442
45589.294999810685,0.0071541320909283826,0.007171225695656204,0.0074229076534648684
46654.79882234468,0.007071967108380339,0.007088478942286046,0.007331695418763823
47745.20538566131,0.0069907457880782845,0.007006695641509965,0.007241729137510029
48861.09671160326,0.006910457292090958,0.006925864282732901,0.007152987992312632
50003.068424910896,0.006831090906960374,0.0068459735026656435,0.0070654516132976995
51171.7300711461,0.006752636042272273,0.006767012083121998,0.006979100066554991
