x_lambda_over_NA,PSF_1,PSF_2,sum
-1.21275,0.001038255652424038,0.01287926007392019,0.013917515726344228
-1.2109999999999999,0.0010729212951255975,0.013031485091470353,0.01410440638659595
-1.20925,0.0011080153004722336,0.013182318194670088,0.014290333495142322
-1.2075,0.001143526216039576,0.013331689925860422,0.014475216141899998
-1.2057499999999999,0.0011794423236468085,0.013479530817542232,0.01465897314118904
-1.204,0.0012157516430297145,0.013625771423254269,0.014841523066283984
-1.2022499999999998,0.0012524419356586792,0.01377034234879617,0.01502278428445485
-1.2005,0.0012895007087009285,0.013913174283787863,0.01520267499248879
-1.19875,0.0013269152191262132,0.01405419803355818,0.015381113252684393
-1.1969999999999998,0.0013646724779550583,0.014193344551353843,0.015558017029308901
-1.19525,0.0014027592546486192,0.014330544970860604,0.015733304225509222
-1.1935,0.0014411620816391576,0.014465730639028352,0.01590689272066751
-1.1917499999999999,0.001479867259000069,0.01459883314919086,0.01607870040819093
-1.19,0.0015188608592542029,0.014729784374471666,0.016248645233725868
-1.18825,0.0015581287323195017,0.014858516501467108,0.01641664523378661
-1.1864999999999999,0.0015976565105903675,0.014984962064196848,0.016582618574787215
-1.18475,0.0016374296141536608,0.015109053978313056,0.016746483592466718
-1.1829999999999998,0.0016774332561377803,0.015230725575558258,0.016908158831696038
-1.18125,0.0017176524481933716,0.015349910638462352,0.017067563086655725
-1.1795,0.0017580720061040965,0.015466543435268928,0.017224615441373027
-1.1777499999999999,0.0017986765555259166,0.015580558755080806,0.017379235310606724
-1.176,0.0018394505378530096,0.015691891943214683,0.017531342481067694
-1.17425,0.00188037821620889,0.01580047893675455,0.01768085715296344
-1.1724999999999999,0.001921443681560534,0.015906256300293367,0.017827699981853903
-1.17075,0.001962630858953929,0.01600916126185255,0.01797179212080648
-1.169,0.002003923513868937,0.016109131748968247,0.018113055262837185
-1.16725,0.0020453052586915273,0.0162061064249339,0.018251411683625426
-1.1655,0.0020867595593011784,0.016300024725187528,0.018386784284488707
-1.1637499999999998,0.002128269741771566,0.016390826893833355,0.01851909663560492
-1.162,0.002169818999181941,0.016478454020285527,0.018648273019467466
-1.16025,0.002211390398537368,0.016562848076023477,0.018774238474560844
-1.1584999999999999,0.002252966887795074,0.016643951951446634,0.01889691883924171
-1.15675,0.0022945313029948274,0.016721709492817337,0.019016240795812163
-1.155,0.00233606637549074,0.0167960655392798,0.019132131914770544
-1.1532499999999999,0.0023775547392819786,0.0168669659599436,0.019244520699225578
-1.1515,0.0024189789384398723,0.016934357691019374,0.019353336629459247
-1.14975,0.0024603214346287225,0.016998188772994728,0.01945851020762345
-1.148,0.002501564614717677,0.017058408387838425,0.019559973002556102
-1.14625,0.0025426907984808307,0.01711496689621991,0.01965765769470074
-1.1444999999999999,0.0025836822463828606,0.017167815874732397,0.019751498121115256
-1.14275,0.0026245211674472287,0.017216908153106725,0.019841429320553952
-1.141,0.0026651897272041104,0.01726219785140327,0.019927387578607382
-1.1392499999999999,0.0027056700557150206,0.01730364041716961,0.02000931047288463
-1.1375,0.002745944255671131,0.017341192662550728,0.020087136918221858
-1.1357499999999998,0.0027859944105622404,0.017374812801339304,0.020160807211901544
-1.134,0.002825802592913187,0.017404460485952972,0.02023026307886616
-1.13225,0.0028653508725846027,0.017430096844325466,0.020295447716910067
-1.1305,0.002904621325134747,0.017451684516698887,0.020356305841833632
-1.12875,0.0029435960402391134,0.017469187692303743,0.020412783732542857
-1.127,0.002982257130164567,0.017482572145913644,0.020464829276078213
-1.1252499999999999,0.0030205867382945405,0.017491805274261366,0.02051239201255591
-1.1235,0.003058567047701984,0.017496856132303184,0.020555423180005167
-1.12175,0.003096180289766504,0.01749769546931781,0.020593875759084314
-1.1199999999999999,0.003133408752832288,0.017494295764826976,0.020627704517659263
-1.11825,0.0031702347909031616,0.017486631264323822,0.020656866055226986
-1.1164999999999998,0.0032066408323713647,0.017474678014795922,0.020681318847167285
-1.11475,0.003242609388776196,0.01745841390002945,0.020701023288805645
-1.113,0.003278123063589141,0.017437818675680648,0.02071594173926979
-1.11125,0.0033131645610215,0.01741287400410167,0.02072603856512317
-1.1095,0.003347716694851053,0.017383563488906593,0.020731280183757646
-1.10775,0.0033817623972638004,0.01734987270926454,0.020731635106528336
-1.1059999999999999,0.00341528472770713,0.017311789253906,0.020727073981613133
-1.10425,0.0034482668817504246,0.017269302754829005,0.020717569636579426
-1.1025,0.003480692199949503,0.017222404920691468,0.02070309712064097
-1.10075,0.0035125441767106975,0.017171089569876063,0.02068363374658676
-1.099,0.0035438064691509386,0.017115352663214265,0.020659159132365202
-1.0972499999999998,0.003574462905949759,0.017055192336355746,0.020629655242305502
-1.0955,0.0036044974961893057,0.016990608931769877,0.020595106427959184
-1.09375,0.0036338944381783915,0.016921605030365553,0.020555499468543945
-1.092,0.003662638128256544,0.016848185482716042,0.020510823610972586
-1.09025,0.0036907131695741277,0.016770357439875316,0.020461070609449444
-1.0885,0.003718104380844352,0.016688130383772565,0.020406234764616914
-1.0867499999999999,0.003744796805063326,0.016601516157171235,0.02034631296223456
-1.085,0.0037707757181938465,0.01651052899317971,0.020281304711373557
-1.08325,0.0037960266378091073,0.016415185544299805,0.02021121218210891
