x_over_sigma,two_source_signal,single_gaussian_fit,residual
-3.1545064377682404,0.5135338941523119,0.4090861885806221,0.10444770557168975
-3.13447782546495,0.5254415195385909,0.4122431768932456,0.11319834264534528
-3.1144492131616595,0.5374096441221062,0.4154041873524443,0.12200545676966196
-3.0944206008583692,0.5494299382037988,0.4185689400607091,0.1308609981430897
-3.0743919885550786,0.5614938207745361,0.4217371524294533,0.13975666834508282
-3.0543633762517883,0.5735924678280869,0.4249085392140666,0.1486839286140203
-3.0343347639484977,0.5857168213522047,0.42808281254988995,0.15763400880231476
-3.0143061516452074,0.5978575989909368,0.43125968198910414,0.16659791700183268
-2.994277539341917,0.6100053043692482,0.43443885453853043,0.17556644983071773
-2.9742489270386265,0.6221502380689695,0.4376200346983378,0.1845302033706317
-2.954220314735336,0.6342825092430263,0.44080292450165276,0.19347958474137356
-2.934191702432046,0.6463920478528304,0.44398722355506487,0.20240482429776557
-2.9141630901287554,0.6584686175116574,0.44717262908002775,0.21129598843162967
-2.8941344778254647,0.6705018289147785,0.4503588359551409,0.22014299295963757
-2.874105865522175,0.682481153835115,0.45354553675931614,0.22893561707579885
-2.8540772532188843,0.6943959396611709,0.45673242181581575,0.2376635178453551
-2.8340486409155936,0.7062354244520472,0.4599191792371572,0.24631624521489004
-2.814020028612303,0.7179887524824591,0.46310549497087833,0.25488325751158075
-2.793991416309013,0.7296449902487909,0.4662910528461544,0.2633539374026365
-2.7739628040057225,0.7411931429054661,0.4694755346212605,0.2717176082842056
-2.753934191702432,0.7526221710991599,0.47265862003186904,0.2799635510672908
-2.733905579399142,0.7639210081667689,0.47583998684017564,0.28808102132659325
-2.7138769670958514,0.7750785776614719,0.47901931088484545,0.2960592667766265
-2.6938483547925607,0.7860838111697527,0.4821962661317665,0.30388754503798615
-2.67381974248927,0.7969256663808999,0.4853705247256062,0.3115551416552937
-2.6537911301859802,0.8075931453692188,0.48854175704215697,0.3190513883270618
-2.6337625178826896,0.8180753130480488,0.4917096317414623,0.3263656813065865
-2.613733905579399,0.8283613157536339,0.4948738158217132,0.33348749993192073
-2.593705293276109,0.8384403999159917,0.49803397467390254,0.3404064252420892
-2.5736766809728184,0.848301930773131,0.5011897721372294,0.3471121586359016
-2.5536480686695278,0.8579354110843117,0.5043408705552362,0.35359454052907546
