r_lambda_over_NA,Airy,Gaussian
0.2135593220338983,0.6259989324707504,0.6202071332970459
0.21571648690292758,0.6198186826617208,0.6142206493040966
0.21787365177195683,0.6136271547182583,0.6082326556798592
0.22003081664098612,0.6074255229024123,0.6022443288162009
0.2221879815100154,0.601214957790159,0.5962568336769
0.22434514637904468,0.5949966259482792,0.590271323458185
0.22650231124807393,0.5887716896137127,0.5842889392583401
0.22865947611710322,0.5825413063755036,0.5783108097564781
0.2308166409861325,0.5763066288594345,0.5723380509005738
0.23297380585516178,0.5700688044154641,0.5663717656048488
0.23513097072419104,0.5638289748080676,0.5604130434565848
0.23728813559322032,0.557588275909588,0.5544629604324413
0.2394453004622496,0.551347837396699,0.5485225786243422
0.24160246533127888,0.5451087824500815,0.5425929459749897
0.24375963020030816,0.5388722274574049,0.53667509602306
0.24591679506933742,0.532639281719726,0.5307700476581193
0.2480739599383667,0.5264110471613863,0.5248788048853061
0.25023112480739595,0.5201886180435119,0.5190023565998019
0.25238828967642524,0.513973080681204,0.5131416763711188
0.2545454545454545,0.5077655131645122,0.5072977222372196
0.2567026194144838,0.5015669850832799,0.5014714365084775
0.2588597842835131,0.4953785572559507,0.495663745581483
0.26101694915254237,0.4892012814624158,0.4898755597626894
0.26317411402157165,0.4830362001809951,0.4841077731018889
0.26533127889060093,0.47688434632962434,0.47836126323550243
0.26748844375963016,0.4707467430113361,0.4726368912396589
0.26964560862865944,0.46462440326410626,0.4669355014930335
0.2718027734976887,0.4585183298151482,0.4612579215494113
0.273959938366718,0.4524295148397226,0.4556049620199308
0.2761171032357473,0.44635893972453844,0.4499774164649615
0.27827426810477657,0.44030757483581723,0.4443760612955599
0.28043143297380585,0.4342763792920802,0.43880165568444424
0.28258859784283513,0.42826630074173533,0.43325494148642235
0.2847457627118644,0.42227827514551836,0.42773664316820104
0.28690292758089364,0.41631322656385583,0.4222474677474997
0.2890600924499229,0.4103720669492039,0.4167881047413864
0.2912172573189522,0.40445569594342823,0.4113592261237493
0.2933744221879815,0.39856500068026945,0.40596148629181006
0.29553158705701077,0.3927008555929568,0.4005955220415823
0.29768875192604005,0.38686412222701466,0.39526195255217283
0.29984591679506933,0.3810556490583119,0.3899613793788188
0.3020030816640986,0.3752762713164027,0.3846943864545492
0.30416024653312784,0.36952681081319566,0.37946154010035443
0.3063174114021571,0.36380807577700497,0.37426338904374534
0.3084745762711864,0.35812086069200777,0.3691004644455767
0.3106317411402157,0.35246594614315796,0.36397327993500617
0.31278890600924497,0.3468440986665838,0.35888233165245953
0.31494607087827425,0.34125607060550467,0.3538280983004641
0.31710323574730354,0.3357025999716931,0.3488110412022134
0.3192604006163328,0.33018441031251744,0.34383160436772003
0.3214175654853621,0.32470221058358273,0.3388902145674117
0.3235747303543913,0.3192566950269975,0.33398728141302264
0.3257318952234206,0.3138485430552853,0.32912319744562735
0.3278890600924499,0.30847841914096075,0.3242983382306663
0.3300462249614792,0.30314697271178553,0.3195130624598043
0.33220338983050846,0.2978548380517162,0.31476771205946386
0.33436055469953774,0.29260263420756183,0.3100626123058729
0.336517719568567,0.2873909649013496,0.305398071946464
0.3386748844375963,0.2822204184484171,0.3007743833274601
0.34083204930662553,0.2770915676812267,0.2961918225274799
0.3429892141756548,0.2720049698789089,0.29165064949699543
0.3451463790446841,0.2669611667025341,0.2871511082034719
0.3473035439137134,0.26196068413610724,0.28269342678201925
0.34946070878274266,0.257004032433285,0.278277817691383
0.35161787365177194,0.2520917060698049,0.27390447787510197
0.3537750385208012,0.24722418370161925,0.26957358892765926
0.3559322033898305,0.24240192812872127,0.2652853172654514
0.3580893682588598,0.23762538626465002,0.26103981430240175
0.360246533127889,0.23289498911165785,0.25683721663004166
0.3624036979969183,0.22821115174152223,0.2526776462018847
0.3645608628659476,0.22357427328198243,0.24856121052191876
0.36671802773497686,0.21898473690877573,0.24448800283703853
0.36887519260400614,0.21444290984325248,0.24045810233324463
0.3710323574730354,0.20994914335553855,0.23647157433543403
0.3731895223420647,0.20550377277322,0.2325284705106061
0.375346687211094,0.20110711749551613,0.22862882907431098
0.3775038520801232,0.1967594810129094,0.2247726750001666
0.3796610169491525,0.19246115093219474,0.22096002023227104
0.3818181818181818,0.18821239900691378,0.21719086390034043
0.38397534668721106,0.18401348117313265,0.21346519253739848
0.38613251155624034,0.179864637590521,0.20978298029985126
0.3882896764252696,0.17576609268869278,0.2061441891897773
0.3904468412942989,0.17171805521875744,0.20254876927926618
0.3926040061633282,0.1677207183100421,0.1989966589366408
0.39476117103235747,0.16377425953192745,0.1954877850543992
0.3969183359013867,0.15987884096075244,0.19202206327871357
0.399075500770416,0.15603460925173157,0.18859939824032643
0.40123266563944526,0.15224169571583304,0.1852196837866858
0.40338983050847455,0.14850021640155747,0.18188280321516184
0.4055469953775038,0.14481027218156312,0.17858862950719162
0.4077041602465331,0.1411719488440755,0.17533702556319897
0.4098613251155624,0.13758531718901984,0.17212784443813958
0.4120184899845917,0.13405043312881454,0.16896092957752368
0.41417565485362096,0.13056733779375973,0.16583611505377005
0.4163328197226502,0.12713605764195549,0.16275322580275003
0.41848998459167946,0.12375660457368019,0.15971207786037842
0.42064714946070875,0.12042897605016288,0.15671247859911613
0.42280431432973803,0.11715315521667513,0.15375422696424698
0.4249614791987673,0.1139291110298723,0.15083711370979744
0.4271186440677966,0.11075679838931013,0.14796092163396793
0.4292758089368259,0.10763615827306221,0.14512542581395058
0.43143297380585516,0.10456711787735967,0.14233039384000656
0.4335901386748844,0.10154959076017969,0.13957558604868364
0.43574730354391367,0.09858347698869922,0.13686075575505402
0.43790446841294295,0.095668663290538,0.134185649483858
0.44006163328197223,0.09280502320870654,0.13155000719943918
0.4422187981510015,0.08999241726017922,0.12895356253436313
0.4443759630200308,0.08723069309800713,0.12639604301661203
0.4465331278890601,0.08451968567688745,0.12387717029525167
0.44869029275808936,0.0818592174221041,0.12139666036447065
0.45084745762711864,0.07924909840175139,0.11895422378589436
0.45300462249614787,0.07668912650215666,0.11654956590907883
0.45516178736517715,0.07417908760641027,0.1141823870900938
0.45731895223420643,0.07171875577591641,0.11185238290810695
0.4594761171032357,0.06930789343487385,0.10955924437988379
0.461633281972265,0.06694625155759622,0.10730265817212184
0.4637904468412943,0.06463356985858094,0.10508230681154038
0.46594761171032356,0.06236957698523466,0.1028978688926497
0.46810477657935284,0.060153990713162825,0.100749019283128
0.47026194144838207,0.05798651814392993,0.09863542932673633
0.47241910631741135,0.05586685590519779,0.09655676704370508
0.47457627118644063,0.05379469035314642,0.09451269732852942
0.4767334360554699,0.051769697777084726,0.09250288214511274
0.4788906009244992,0.04979154460615412,0.09052698071920218
0.4810477657935285,0.047859887618031456,0.08858464972806099
0.48320493066255776,0.04597437414953458,0.08667554348732788
0.48536209553158705,0.04413464230903564,0.08479931413501453
0.4875192604006163,0.04234032119058516,0.08295561181259653
0.48967642526964555,0.04059103108965115,0.08114408484315559
0.49183359013867484,0.03888638372037702,0.07936437990653386
0.4939907550077041,0.03722598243426081,0.077616142211464
0.4961479198767334,0.035609422440161145,0.07589901566464123
0.4983050847457627,0.03403629102553088,0.07421264303670698
0.5004622496147919,0.0325061677787842,0.07255666612511602
0.5026194144838212,0.031018624812699323,0.0709307259138616
0.5047765793528505,0.0295732269887611,0.06933446273003667
0.5069337442218798,0.02816953214234722,0.06776751639721054
0.509090909090909,0.026807091308661865,0.06622952638560393
0.5112480739599383,0.025485448949321806,0.06472013195904773
0.5134052388289676,0.024204143179498337,0.06323897231871331
